146,abhijāyati,.v.,.3p.$.sg.$.pres.,,is born or arose well.,,abhi+jan+ya,,1,100,10,concise,en
156,abhikaṅkhana,.n:base.,.nt.,,hope$longing$wish.,,,,1,100,12,concise,en
157,abhikaṅkhati,.v.,.3p.$.sg.$.pres.,,longs or wishes for.,,abhi+kakh+ṃ+a,,1,100,12,concise,en
158,abhikaṅkhi,.v.,.aor.,abhikaṅkhat,longed or wished for.,,,,1,100,10,concise,en
160,abhikaṅkhita,.adj:base.,.pp.,abhikaṅkhati,longed or wished for,,,,1,100,12,concise,en
161,abhikaṅkhita,.n:base.,.nt.,,hope$longing$wish,,,,1,100,12,concise,en
159,abhikaṅkhī,.adj:base.,,,wishing for$desirous.,,,,1,100,10,concise,en
164,abhikirati,.v.,.3p.$.sg.$.pres.,,scatter over$to sprinkle.,,abhi+kir+a,,1,100,10,concise,en
163,abhikiraṇa,.n:base.,.nt.,,scattering over.,,,,1,100,10,concise,en
162,abhikiṇṇa,.adj:base.,.pp.,abhikirati,strewn over with.,,,,1,100,9,concise,en
165,abhikkama,.n:base.,.m.,,going forward.,,,,1,100,9,concise,en
166,abhikkamati,.v.,.3p.$.sg.$.pres.,,proceeds.,,abhi+kam+a,,1,100,11,concise,en
167,abhikkami,.v.,.aor.,abhukkamat,proceeded.,,,,1,100,9,concise,en
168,abhikkanta,.adj:base.,.pp.,abhikkamati,1. gone forward$past$2. most pleasant,,,,1,100,10,concise,en
169,abhikkanta,.n:base.,.nt.,,going forward,,,,1,100,10,concise,en
170,abhikkantatara,.adj:base.,,,more brilliant.,,,,1,100,14,concise,en
171,abhikkhaṇa,.adj:base.,,,constant.,,,,1,100,10,concise,en
173,abhikkhaṇana,.n:base.,.nt.,,digging.,,,,1,100,12,concise,en
174,abhikkhaṇati,.v.,.3p.$.sg.$.pres.,,digs up.,,abhi+kha+a,,1,100,12,concise,en
172,abhikkhaṇaṃ,.adv.,,,constantly$often.,,,,1,100,11,concise,en
175,abhikkhaṇi,.v.,.aor.,abhikhaṇat,dug.,,,,1,100,10,concise,en
176,abhikūjana,.n:base.,.nt.,,singing of birds.,,,,1,100,10,concise,en
177,abhikūjati,.v.,.3p.$.pl.$.pres.,,warbles$sings (of birds),,abhi+kuj+a,,1,100,10,concise,en
178,abhikūji,.v.,,abhikūjat,warbled$sang (of birds),,,,1,100,8,concise,en
179,abhikūjita,.adj:base.,.pp.,abhikūjati,resounding with (the song of birds),,,,1,100,10,concise,en
180,abhilakkhesi,.v.,.aor.,abhilakkhet,marked$designed.,,,,1,100,12,concise,en
181,abhilakkheti,.v.,.3p.$.sg.$.pres.,,marks$designs.,,abhi+lakkh+e,,1,100,12,concise,en
182,abhilakkhita,.adj:base.,.pp.,abhilakkheti,marked by.,,,,1,100,12,concise,en
183,abhilāpa,.n:base.,.m.,,talk$speech.,,,,1,100,8,concise,en
184,abhilāsā,.n:base.,.f.,,wish$desire.,,,,1,100,8,concise,en
185,abhimaddana,.n:base.,.nt.,,crushing$subjugation.,,,,1,100,11,concise,en
186,abhimaddati,.v.,.3p.$.sg.$.pres.,,crushes$subdues.,,abhi+madd+a,,1,100,11,concise,en
187,abhimaddi,.v.,.aor.,abhimaddat,crushed$subdued.,,,,1,100,9,concise,en
