id,word,type,grammar,parent,meaning,note,factors,factor_meaning,status,confidence,strlen,source,language
100092,dukkhassantakiriyāyāti,.un.,,,,,dukkhassantakiriyāyā+iti,,1,60,22,union,cm
100093,dukkhatarāti,.un.,,,,,dukkhatarā+iti,,1,60,12,union,cm
100094,dukkhavatthubhūtāti,.un.,,,,,dukkhavatthubhūtā+iti,,1,60,19,union,cm
100095,dukkhavedanāti,.un.,,,,,dukkhavedanā+iti,,1,60,14,union,cm
100096,dukkhavipākāti,.un.,,,,,dukkhavipākā+iti,,1,60,14,union,cm
100097,dukkhenāti,.un.,,,,,dukkhenā+iti,,1,60,10,union,cm
100098,dullabhattāti,.un.,,,,,dullabhattā+iti,,1,60,13,union,cm
100099,duppamokkhabhāvadassanatthañcāti,.un.,,,,,duppamokkhabhāvadassanatthaṃ+ca+iti,,1,80,32,union,cm
100100,duppaññāti,.un.,,,,,duppaññā+iti,,1,60,10,union,cm
100101,dupparihāratāti,.un.,,,,,dupparihāratā+iti,,1,60,15,union,cm
100102,durāsadāti,.un.,,,,,durāsadā+iti,,1,60,10,union,cm
100103,dūseyyāti,.un.,,,,,dūseyyā+iti,,1,60,9,union,cm
100104,dūsitacittassāti,.un.,,,,,dūsitacittassā+iti,,1,60,16,union,cm
100105,dussīlāti,.un.,,,,,dussīlā+iti,,1,60,9,union,cm
100106,dutiyajjhānūpacāreyevāti,.un.,,,,,dutiyajjhānūpacāre+eva+iti,,1,80,24,union,cm
100107,dutiyassāti,.un.,,,,,dutiyassā+iti,,1,60,11,union,cm
100108,dutiyatatiyāti,.un.,,,,,dutiyatatiyā+iti,,1,60,14,union,cm
100109,dutiyenāti,.un.,,,,,dutiyenā+iti,,1,60,10,union,cm
100110,duṭṭhullavācāti,.un.,,,,,duṭṭhullavācā+iti,,1,60,15,union,cm
100111,duviññeyyāti,.un.,,,,,duviññeyyā+iti,,1,60,12,union,cm
100112,duyhitthāti,.un.,,,,,duyhitthā+iti,,1,60,11,union,cm
100113,dvādasahatthabbhantareyevāti,.un.,,,,,dvādasahatthabbhantare+eva+iti,,1,80,28,union,cm
100114,dvāsaṭṭhidiṭṭhiantogadhattāti,.un.,,,,,dvāsaṭṭhidiṭṭhiantogadhattā+iti,,1,60,29,union,cm
100115,dviguṇāti,.un.,,,,,dviguṇā+iti,,1,60,9,union,cm
100116,dviyojanasatānevāti,.un.,,,,,dviyojanasatānevā+iti,,1,60,19,union,cm
100117,ehipassāti,.un.,,,,,ehipassā+iti,,1,60,10,union,cm
100118,ekābaddhattāti,.un.,,,,,ekābaddhattā+iti,,1,60,14,union,cm
100119,ekabhattikāti,.un.,,,,,ekabhattikā+iti,,1,60,13,union,cm
100120,ekacittakkhaṇikāti,.un.,,,,,ekacittakkhaṇikā+iti,,1,60,18,union,cm
100121,ekacittakkhaṇikattāti,.un.,,,,,ekacittakkhaṇikattā+iti,,1,60,21,union,cm
100122,ekadesadassanavasenāti,.un.,,,,,ekadesadassanavasenā+iti,,1,60,22,union,cm
100123,ekadhāti,.un.,,,,,ekadhā+iti,,1,60,8,union,cm
100124,ekalakkhaṇāti,.un.,,,,,ekalakkhaṇā+iti,,1,60,13,union,cm
100125,ekaṃsikāti,.un.,,,,,ekaṃsikā+iti,,1,60,10,union,cm
100126,ekanāḷāti,.un.,,,,,ekanāḷā+iti,,1,60,9,union,cm
100127,ekantikattāti,.un.,,,,,ekantikattā+iti,,1,60,13,union,cm
100128,ekappahārenevāti,.un.,,,,,ekappahārenevā+iti,,1,60,16,union,cm
100129,ekarūpamevāti,.un.,,,,,ekarūpaṃ+eva+iti,,1,80,13,union,cm
100130,ekasabhāgattañcāti,.un.,,,,,ekasabhāgattaṃ+ca+iti,,1,80,18,union,cm
100131,ekasambhogatāti,.un.,,,,,ekasambhogatā+iti,,1,60,15,union,cm
100132,ekāsanikatthāti,.un.,,,,,ekāsanikatthā+iti,,1,60,15,union,cm
100133,ekatiṃsāti,.un.,,,,,ekatiṃsā+iti,,1,60,10,union,cm
100134,ekatoyevāti,.un.,,,,,ekato+eva+iti,,1,80,11,union,cm
100135,ekatthāti,.un.,,,,,ekatthā+iti,,1,60,9,union,cm
100136,ekaupacārasīmāyāti,.un.,,,,,ekaupacārasīmāyā+iti,,1,60,18,union,cm
100137,ekavacanenāti,.un.,,,,,ekavacanenā+iti,,1,60,13,union,cm
100138,ekavācāti,.un.,,,,,ekavācā+iti,,1,60,9,union,cm
100139,ekavāramevāti,.un.,,,,,ekavāraṃ+eva+iti,,1,80,13,union,cm
100140,ekāyāti,.un.,,,,,ekāyā+iti,,1,60,7,union,cm
100141,ekekāti,.un.,,,,,ekekā+iti,,1,60,7,union,cm
100142,ekībhāvasukhatthañcāti,.un.,,,,,ekībhāvasukhatthaṃ+ca+iti,,1,80,22,union,cm
100143,ekībhāvenāti,.un.,,,,,ekībhāvenā+iti,,1,60,12,union,cm
100144,ekoyevāti,.un.,,,,,eko+eva+iti,,1,80,9,union,cm
100145,ekūnapaññāsāti,.un.,,,,,ekūnapaññāsā+iti,,1,60,14,union,cm
