ūsu,ū,noun%f%pl%loc,3
aso,o,noun%x%sg%gen,3
aso,o,noun%x%sg%dat,3
asā,o,noun%x%sg%inst,3
ena,o,noun%x%sg%inst,3
asā,o,noun%x%sg%abl,3
asi,o,noun%x%sg%loc,3
ehi,o,noun%x%pl%inst,3
ehi,o,noun%x%pl%abl,3
esu,o,noun%x%pl%loc,3
aṃ,a,noun%m%sg%acc,2
aṃ,a,noun%n%sg%nom,2
aṃ,a,noun%n%sg%acc,2
aṃ,ā,noun%f%sg%acc,2
iṃ,i,noun%m%sg%acc,2
iṃ,i,noun%n%sg%acc,2
iṃ,i,noun%f%sg%acc,2
yā,i,noun%f%sg%gen,2
yā,i,noun%f%sg%dat,2
yā,i,noun%f%sg%inst,2
yā,i,noun%f%sg%abl,2
yā,i,noun%f%sg%loc,2
yo,i,noun%f%pl%nom,2
yo,i,noun%f%pl%voc,2
yo,i,noun%f%pl%acc,2
iṃ,ī,noun%m%sg%acc,2
iṃ,ī,noun%f%sg%acc,2
yā,ī,noun%f%sg%gen,2
yā,ī,noun%f%sg%dat,2
yā,ī,noun%f%sg%inst,2
yā,ī,noun%f%sg%abl,2
yā,ī,noun%f%sg%loc,2
yo,ī,noun%f%pl%nom,2
yo,ī,noun%f%pl%voc,2
yo,ī,noun%f%pl%acc,2
uṃ,u,noun%m%sg%acc,2
uṃ,u,noun%n%sg%acc,2
uṃ,u,noun%f%sg%acc,2
uṃ,ū,noun%m%sg%acc,2
uṃ,ū,noun%f%sg%acc,2
aṃ,o,noun%x%sg%nom,2
aṃ,o,noun%x%sg%voc,2
aṃ,o,noun%x%sg%acc,2
o,a,noun%m%sg%nom,1
a,a,noun%m%sg%voc,1
ā,a,noun%m%sg%voc,1
ā,a,noun%m%sg%abl,1
e,a,noun%m%sg%loc,1
ā,a,noun%m%pl%nom,1
ā,a,noun%m%pl%voc,1
e,a,noun%m%pl%acc,1
a,a,noun%n%sg%voc,1
ā,a,noun%n%sg%abl,1
e,a,noun%n%sg%loc,1
ā,a,noun%n%pl%nom,1
ā,a,noun%n%pl%voc,1
e,a,noun%n%pl%acc,1
ā,ā,noun%f%sg%nom,1
ā,ā,noun%f%sg%voc,1
e,ā,noun%f%sg%voc,1
ā,ā,noun%f%pl%nom,1
ā,ā,noun%f%pl%voc,1
ā,ā,noun%f%pl%acc,1
i,i,noun%m%sg%nom,1
i,i,noun%m%sg%voc,1
ī,i,noun%m%pl%nom,1
ī,i,noun%m%pl%voc,1
ī,i,noun%m%pl%acc,1
i,i,noun%n%sg%nom,1
i,i,noun%n%sg%voc,1
ī,i,noun%n%pl%nom,1
ī,i,noun%n%pl%voc,1
ī,i,noun%n%pl%acc,1
i,i,noun%f%sg%nom,1
i,i,noun%f%sg%voc,1
ī,i,noun%f%pl%nom,1
ī,i,noun%f%pl%voc,1
ī,i,noun%f%pl%acc,1
ī,ī,noun%m%sg%nom,1
ī,ī,noun%m%sg%voc,1
ī,ī,noun%m%pl%nom,1
ī,ī,noun%m%pl%voc,1
ī,ī,noun%m%pl%acc,1
ī,ī,noun%f%sg%nom,1
ī,ī,noun%f%sg%voc,1
ī,ī,noun%f%pl%nom,1
ī,ī,noun%f%pl%voc,1
ī,ī,noun%f%pl%acc,1
u,u,noun%m%sg%nom,1
u,u,noun%m%sg%voc,1
ū,u,noun%m%pl%nom,1
ū,u,noun%m%pl%voc,1
ū,u,noun%m%pl%acc,1
u,u,noun%n%sg%nom,1
u,u,noun%n%sg%voc,1
ū,u,noun%n%pl%nom,1
ū,u,noun%n%pl%voc,1
ū,u,noun%n%pl%acc,1
u,u,noun%f%sg%nom,1
u,u,noun%f%sg%voc,1
ū,u,noun%f%pl%nom,1
ū,u,noun%f%pl%voc,1
ū,u,noun%f%pl%acc,1
ū,ū,noun%m%sg%nom,1
ū,ū,noun%m%sg%voc,1
ū,ū,noun%m%pl%nom,1
ū,ū,noun%m%pl%voc,1
ū,ū,noun%m%pl%acc,1
ū,ū,noun%f%sg%nom,1
ū,ū,noun%f%sg%voc,1
ū,ū,noun%f%pl%nom,1
ū,ū,noun%f%pl%voc,1
ū,ū,noun%f%pl%acc,1
o,o,noun%x%sg%nom,1
o,o,noun%x%sg%voc,1
ā,o,noun%x%sg%voc,1
a,o,noun%x%sg%voc,1
o,o,noun%x%sg%acc,1
ā,o,noun%x%sg%abl,1
e,o,noun%x%sg%loc,1
ā,o,noun%x%pl%nom,1
ā,o,noun%x%pl%voc,1
e,o,noun%x%pl%acc,1
