id,book,par_num,level,class,title,text
NULL,p34,176,100,gatha3,,"Āhāre byavahāre ca,"
NULL,p34,177,100,gathalast,,"Cattalajjo sadā bhave."
NULL,p34,178,8,hangnum,36.,36.
NULL,p34,179,100,gatha1,," Dhanino sotthiyo rājā,"
NULL,p34,180,100,gatha2,,"Nadī vejjo tu pañcamo;"
NULL,p34,181,100,gatha3,,"Pañca yatra navijjante,"
NULL,p34,182,100,gathalast,,"Tatra vāsaṃ nakāraye."
NULL,p34,183,8,hangnum,37.,37.
NULL,p34,184,100,gatha1,," Yasmiṃdese  na sammānaṃ,"
NULL,p34,185,100,gatha2,,"Na pīti naca bandhavā;"
NULL,p34,186,100,gatha3,,"Na ca vijjāgamo koci,"
NULL,p34,187,100,gathalast,,"Taṃdesaṃ parivajjaye."
NULL,p34,188,8,hangnum,38.,38.
NULL,p34,189,100,gatha1,," Manasā  cintitaṃ kammaṃ,"
NULL,p34,190,100,gatha2,,"Vacasā napakāsaye;"
NULL,p34,191,100,gatha3,,"Aññalakkhita kāriyassa,"
NULL,p34,192,100,gathalast,,"Yato siddhi najāyate."
NULL,p34,193,8,hangnum,39.,39.
NULL,p34,194,100,gatha1,," Kudesañca  kuvuttiñca,"
NULL,p34,195,100,gatha2,,"Kubhariyaṃ kunadiṃ tathā;"
NULL,p34,196,100,gatha3,,"Kudabbañca kubhojjañca,"
NULL,p34,197,100,gathalast,,"Vajjaye tu vicakkhaṇo."
NULL,p34,198,8,hangnum,40.,40.
NULL,p34,199,100,gatha1,," Iṇasesoggi seso ca,"
NULL,p34,200,100,gatha2,,"Byādhiseso tatheva ca;"
NULL,p34,201,100,gatha3,,"Puna ca vaḍḍhate yasmā,"
NULL,p34,202,100,gathalast,,"Tasmā sesaṃ nakāraye."
NULL,p34,203,8,hangnum,41.,41.
NULL,p34,204,100,gatha1,," Cintā  jaro manussānaṃ,"
NULL,p34,205,100,gatha2,,"Vatthānaṃ ātapo jaro;"
NULL,p34,206,100,gatha3,,"Asobhagyaṃ jaro thīnaṃ,"
NULL,p34,207,100,gathalast,,"Assānaṃ methunaṃ jaro."
NULL,p34,208,8,hangnum,42.,42.
NULL,p34,209,100,gatha1,," Atthi  putto vase yassa,"
NULL,p34,210,100,gatha2,,"Bhacco bhariyā tatheva ca;"
NULL,p34,211,100,gatha3,,"Abhāve pyatisantoso,"
