id,lang,sn,word_en,word,word2,note
39879,my,14,anca,añca,Añca,añca：အဉ္စ<br>  ဘူ+စု = ဂတိ ပူဇာ ဝိသေသေသု-သွားခြင်း，ပူဇော်ခြင်း，အထူးပြုခြင်းတို့၌။ အဉ္စတိ၊ အဉ္စေတိ၊ အဉ္စယတိ။ အ-ဂတိယံ ပူဇာယဉ္စ အဗျတ္တသဒ္ဒေ စ၊ အဉ္စတိ။ ဝါစပ္ပတိ။,4,1
39893,my,14,ancha,añcha,Añcha,añcha：အဉ္ဆ<br>  ဘူ = အာယာမေ-ရှည်လျားကျယ်ပြန့်အောင်ဆွဲငင်ခြင်း၌။ အဉ္ဆတိ။,5,1
39916,my,14,ancu,añcu,Añcu,añcu：အဉ္စု<br>  ဘူ+စု = ဂတိ ပူဇာ ဝိသေသေသု-သွားခြင်း，ပူဇော်ခြင်း，အထူးပြုခြင်းတို့၌။ အဉ္စတိ၊ အဉ္စေတိ၊ အဉ္စယတိ။ အ-ဂတိယံ ပူဇာယဉ္စ အဗျတ္တသဒ္ဒေ စ၊ အဉ္စတိ။ ဝါစပ္ပတိ။,4,1
39928,my,14,anda,anda,Anda,anda：အန္ဒ<br>  ဘူ = ဗန္ဓနေ-နှောင်ဖွဲ့ခြင်း၌။ အန္ဒတိ။,4,1
40021,my,14,andha,andha,Andha,andha：အန္ဓ<br>  စု = ဒိဋ္ဌျုပဃာတေ-မျက်စိအမြင်၏ ပျက်စီးခြင်း ကန်းခြင်း၌။ အန္ဓေတိ၊ အန္ဓယတိ။,5,1
40963,my,14,anga,aṅga,Aṅga,aṅga：အင်္ဂ<br>  ဘူ+စု = ဂတိ ，သင်္ချာနင်္ကေသု-သွားခြင်း，ရေတွက်ခြင်း，အမှတ်တံဆိပ် ခတ်နှိပ်ခြင်းတို့၌။ အင်္ဂတိ၊ အင်္ဂေတိ၊ အင်္ဂယတိ။,4,1
41489,my,14,angi,aṅgi,Aṅgi,aṅgi：အင်္ဂိ<br>  ဘူ+စု = ဂတိ ，သင်္ချာနင်္ကေသု-သွားခြင်း，ရေတွက်ခြင်း，အမှတ်တံဆိပ် ခတ်နှိပ်ခြင်းတို့၌။ အင်္ဂတိ၊ အင်္ဂေတိ၊ အင်္ဂယတိ။,4,1
43244,my,14,anja,añja,Añja,añja：အဉ္ဇ<br>  စု+ရု = ဗျတ္တိ မက္ခန မိဿန ဂတီသု- ထင်ရှားပြုခြင်း，လိမ်းကျံခြင်း，ရောနှောခြင်း，သွားခြင်းတို့၌။<br>  စု = ကန္တိယံ-နှစ်သက်ခြင်း၌။ အဉ္ဇေတိ၊ အဉ္ဇယတိ၊ အဉ္ဇတိ။,4,1
43245,my,14,anja,anja,Anja,anja：အန္ဇ<br>  စု+ရု = ဗျတ္တိ မက္ခန မိဿန ဂတီသု- ထင်ရှားပြုခြင်း，လိမ်းကျံခြင်း，ရောနှောခြင်း，သွားခြင်းတို့၌။<br>  စု = ကန္တိယံ-နှစ်သက်ခြင်း၌။ အဉ္ဇေတိ၊ အဉ္ဇယတိ၊ အဉ္ဇတိ။,4,1
43499,my,14,anju,añju,Añju,añju：အဉ္ဇု<br>  ဘူ = ဗျတ္တိ မက္ခန ကန္တိ ဂတီသု-ထင်ရှားပြုခြင်း，လိမ်းကျံခြင်း，နှစ်သက်ခြင်း，သွားခြင်းတို့၌၊ အဉ္ဇတိ။,4,1
