id,book,name,term,m_title,p_title,abbr
209,178,Abhidhammatthasaṅgaho,abhidhammatthasaṅgaho,abhidhammatthasaṅgaho,abhidhammatthasaṅgaho,abhidhammatthasaṅgaho
210,178,abhidhammatthavibhāvinīṭīkā,abhidhammatthavibhāvinīṭīkā,abhidhammatthavibhāvinīṭīkā,abhidhammatthavibhāvinīṭīkā,abhidhammatthavibhāvinīṭīkā
211,179,Paṭhamo paricchedo,abhidhammāvatāra-purāṇaṭīkā,abhidhammāvatāra-purāṇaṭīkā,abhidhammāvatāra-purāṇaṭīkā,abhidhammāvatāra-purāṇaṭīkā
212,179,abhidhammāvatāra-abhinavaṭīkā,abhidhammāvatāra-abhinavaṭīkā,abhidhammāvatāra-abhinavaṭīkā,abhidhammāvatāra-abhinavaṭīkā,abhidhammāvatāra-abhinavaṭīkā
213,180,Abhidhammamātikāpāḷi,abhidhammamātikāpāḷi,abhidhammamātikāpāḷi,abhidhammamātikāpāḷi,abhidhammamātikāpāḷi
214,180,mohavicchedanī,mohavicchedanī,mohavicchedanī,mohavicchedanī,mohavicchedanī
215,181,Ekakanipāta-ṭīkā,aṅguttaranikāya-ṭīkā,aṅguttaranikāya-ṭīkā,aṅguttaranikāya-ṭīkā,aṃ. ṭī.
216,182,Dukanipāta-ṭīkā,aṅguttaranikāya-ṭīkā,aṅguttaranikāya-ṭīkā,aṅguttaranikāya-ṭīkā,aṃ. ṭī.
217,182,tikanipāta-ṭīkā,tikanipāta-ṭīkā,tikanipāta-ṭīkā,tikanipāta-ṭīkā,aṃ. ṭī.
218,182,catukkanipāta-ṭīkā,catukkanipāta-ṭīkā,catukkanipāta-ṭīkā,catukkanipāta-ṭīkā,aṃ. ṭī.
219,183,Pañcakanipāta-ṭīkā,aṅguttaranikāya-ṭīkā,aṅguttaranikāya-ṭīkā,aṅguttaranikāya-ṭīkā,aṃ. ṭī.
220,183,chakkanipāta-ṭīkā,chakkanipāta-ṭīkā,chakkanipāta-ṭīkā,chakkanipāta-ṭīkā,aṃ. ṭī.
221,183,sattakanipāta-ṭīkā,sattakanipāta-ṭīkā,sattakanipāta-ṭīkā,sattakanipāta-ṭīkā,aṃ. ṭī.
222,184,Aṭṭhakanipāta-ṭīkā,aṅguttaranikāya-ṭīkā,aṅguttaranikāya-ṭīkā,aṅguttaranikāya-ṭīkā,aṃ. ṭī.
223,184,navakanipāta-ṭīkā,navakanipāta-ṭīkā,navakanipāta-ṭīkā,navakanipāta-ṭīkā,aṃ. ṭī.
224,184,dasakanipāta-ṭīkā,dasakanipāta-ṭīkā,dasakanipāta-ṭīkā,dasakanipāta-ṭīkā,aṃ. ṭī.
225,184,ekādasakanipāta-ṭīkā,ekādasakanipāta-ṭīkā,ekādasakanipāta-ṭīkā,ekādasakanipāta-ṭīkā,aṃ. ṭī.
226,185,Sīlakkhandhavaggaṭīkā,dīghanikāya-ṭīkā,dīghanikāya-ṭīkā,dīghanikāya-ṭīkā,dī. ṭī.
227,186,Mahāvaggaṭīkā,dīghanikāya-ṭīkā,dīghanikāya-ṭīkā,dīghanikāya-ṭīkā,dī. ṭī.
228,187,Pāthikavaggaṭīkā,dīghanikāya-ṭīkā,dīghanikāya-ṭīkā,dīghanikāya-ṭīkā,dī. ṭī.
229,188,Sīlakkhandhavaggaabhinavaṭīkā,dīghanikāya-abhinavaṭīkā,dīghanikāya-abhinavaṭīkā,dīghanikāya-abhinavaṭīkā,dī. abhi. ṭī.
230,189,Sīlakkhandhavaggaabhinavaṭīkā,dīghanikāya-abhinavaṭīkā,dīghanikāya-abhinavaṭīkā,dīghanikāya-abhinavaṭīkā,dī. abhi. ṭī.
231,190,Nettippakaraṇa-ṭīkā,nettippakaraṇa-ṭīkā,nettippakaraṇa-ṭīkā,nettippakaraṇa-ṭīkā,netti. ṭī.
232,191,Nettivibhāvinī,nettivibhāvinī,nettivibhāvinī,nettivibhāvinī,netti. vibhā.
233,192,Mūlapaṇṇāsa-ṭīkā,majjhimanikaya-ṭīkā,majjhimanikaya-ṭīkā,majjhimanikaya-ṭīkā,ma. ṭī.
234,193,Majjhimapaṇṇāsaṭīkā,majjhimanikaya-ṭīkā,majjhimanikaya-ṭīkā,majjhimanikaya-ṭīkā,ma. ṭī.
235,194,Uparipaṇṇāsa-ṭīkā,majjhimanikaya-ṭīkā,majjhimanikaya-ṭīkā,majjhimanikaya-ṭīkā,ma. ṭī.
236,195,Sagāthāvaggaṭīkā,saṃyuttanikāya-ṭīkā,saṃyuttanikāya-ṭīkā,saṃyuttanikāya-ṭīkā,saṃ. ṭī.
237,196,Nidānavaggaṭīkā,saṃyuttanikāya-ṭīkā,saṃyuttanikāya-ṭīkā,saṃyuttanikāya-ṭīkā,saṃ. ṭī.
238,197,Khandhavaggaṭīkā,saṃyuttanikāya-ṭīkā,saṃyuttanikāya-ṭīkā,saṃyuttanikāya-ṭīkā,saṃ. ṭī.
239,198,Saḷāyatanavaggaṭīkā,saṃyuttanikāya-ṭīkā,saṃyuttanikāya-ṭīkā,saṃyuttanikāya-ṭīkā,saṃ. ṭī.
240,199,Mahāvaggaṭīkā,saṃyuttanikāya-ṭīkā,saṃyuttanikāya-ṭīkā,saṃyuttanikāya-ṭīkā,saṃ. ṭī.
241,200,Vinayavinicchayo,vinayavinicchayo,vinayavinicchayo,vinayavinicchayo,vinayavinicchayo
242,200,uttaravinicchayo,uttaravinicchayo,uttaravinicchayo,uttaravinicchayo,uttaravinicchayo
243,201,Vinayavinicchayaṭīkā(Paṭhamo bhāgo),vinayavinicchaya-ṭīkā,vinayavinicchaya-ṭīkā,vinayavinicchaya-ṭīkā,vinayavinicchaya-ṭīkā
244,201,uttaravinicchaya-ṭīkā,uttaravinicchaya-ṭīkā,uttaravinicchaya-ṭīkā,uttaravinicchaya-ṭīkā,uttaravinicchaya-ṭīkā
245,202,Pācityādiyojanā,pācityādiyojanā,pācityādiyojanā,pācityādiyojanā,pācityādiyojanā
246,203,Khuddasikkhā-mūlasikkhā,khuddasikkhā,khuddasikkhā,khuddasikkhā,khuddasikkhā
247,203,khuddasikkhā,khuddasikkhā,khuddasikkhā,khuddasikkhā,khuddasikkhā
248,203,khuddasikkhā,khuddasikkhā,khuddasikkhā,khuddasikkhā,khuddasikkhā
249,203,mūlasikkhā,mūlasikkhā,mūlasikkhā,mūlasikkhā,mūlasikkhā
250,203,mūlasikkhā,mūlasikkhā,mūlasikkhā,mūlasikkhā,mūlasikkhā
251,204,Sāratthadīpanī-ṭīkā (paṭhamo bhāgo),Sāratthadīpanī-ṭīkā,Sāratthadīpanī-ṭīkā,Sāratthadīpanī-ṭīkā,sārattha. ṭī.
252,205,Sāratthadīpanī-ṭīkā (dutiyo bhāgo),Sāratthadīpanī-ṭīkā,Sāratthadīpanī-ṭīkā,Sāratthadīpanī-ṭīkā,sārattha. ṭī.
253,206,Sāratthadīpanī-ṭīkā (tatiyo bhāgo),Sāratthadīpanī-ṭīkā,Sāratthadīpanī-ṭīkā,Sāratthadīpanī-ṭīkā,sārattha. ṭī.
254,206,sāratthadīpanī-ṭīkā,sāratthadīpanī-ṭīkā,sāratthadīpanī-ṭīkā,sāratthadīpanī-ṭīkā,sārattha. ṭī.
255,206,sāratthadīpanī-ṭīkā,sāratthadīpanī-ṭīkā,sāratthadīpanī-ṭīkā,sāratthadīpanī-ṭīkā,sārattha. ṭī.
256,206,sāratthadīpanī-ṭīkā,sāratthadīpanī-ṭīkā,sāratthadīpanī-ṭīkā,sāratthadīpanī-ṭīkā,sārattha. ṭī.
257,207,Bhikkhupātimokkhapāḷi,pātimokkhapāḷi,pātimokkhapāḷi,pātimokkhapāḷi,pātimokkha
258,207,pātimokkhapāḷi,pātimokkhapāḷi,pātimokkhapāḷi,pātimokkhapāḷi,pātimokkha
259,207,kaṅkhāvitaraṇī,kaṅkhāvitaraṇī,kaṅkhāvitaraṇī,kaṅkhāvitaraṇī,kaṅkhā.
260,208,Vinayasaṅgaha-aṭṭhakathā,vinayasaṅgaha-aṭṭhakathā,vinayasaṅgaha-aṭṭhakathā,vinayasaṅgaha-aṭṭhakathā,vinayasaṅgaha-aṭṭhakathā
261,209,Vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajīra. ṭī.
262,209,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajīra. ṭī.
263,209,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajīra. ṭī.
264,209,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajīra. ṭī.
265,209,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajīra. ṭī.
266,209,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajirabuddhi-ṭīkā,vajīra. ṭī.
267,210,Vimativinodanī-ṭīkā,vimativinodanī-ṭīkā,vimativinodanī-ṭīkā,vimativinodanī-ṭīkā,vimati. ṭī.
268,210,Vimativinodanī-ṭīkā,Vimativinodanī-ṭīkā,Vimativinodanī-ṭīkā,Vimativinodanī-ṭīkā,vimati. ṭī.
269,210,Vimativinodanī-ṭīkā,Vimativinodanī-ṭīkā,Vimativinodanī-ṭīkā,Vimativinodanī-ṭīkā,vimati. ṭī.
270,210,Vimativinodanī-ṭīkā,Vimativinodanī-ṭīkā,Vimativinodanī-ṭīkā,Vimativinodanī-ṭīkā,vimati. ṭī.
271,210,Vimativinodanī-ṭīkā,Vimativinodanī-ṭīkā,Vimativinodanī-ṭīkā,Vimativinodanī-ṭīkā,vimati. ṭī.
272,211,Vinayālaṅkāra-ṭīkā,vinayālaṅkāra-ṭīkā,vinayālaṅkāra-ṭīkā,vinayālaṅkāra-ṭīkā,ālaṅkāra. ṭī.
273,212,Kaṅkhāvitaraṇīpurāṇa-ṭīkā,kaṅkhāvitaraṇīpurāṇa-ṭīkā,kaṅkhāvitaraṇīpurāṇa-ṭīkā,kaṅkhāvitaraṇīpurāṇa-ṭīkā,kaṅkhā. ṭī.
274,212,Kaṅkhāvitaraṇī-abhinavaṭīkā,kaṅkhāvitaraṇī-abhinavaṭīkā,kaṅkhāvitaraṇī-abhinavaṭīkā,kaṅkhāvitaraṇī-abhinavaṭīkā,kaṅkhā.
275,213,Pārājikapāḷi,vinayapitaka,pārājikapāḷi,vinayapitaka,vi.
276,214,Pācittiyapāḷi,vinayapitaka,pācittiyapāḷi,vinayapitaka,vi.
277,215,Mahāvaggapāḷi,vinayapitaka,mahāvaggapāḷi,vinayapitaka,vi.
278,216,Cūḷavaggapāḷi,vinayapitaka,cūḷavaggapāḷi,vinayapitaka,vi.
279,217,Parivārapāḷi,vinayapitaka,parivārapāḷi,vinayapitaka,vi.
280,139,samantapāsādikā,vinaya-aṭṭhakathā,vinaya-aṭṭhakathā,vinaya-aṭṭhakathā,vi. ṭṭha.
281,214,(VN)Bhikkhunīvibhaṅgo,vinayapitaka,pācittiyapāḷi,vinayapitaka,vi.
