id,word,type,grammar,parent,meaning,note,factors,factor_meaning,status,confidence,strlen,source,language
443,etāni,.pron.,.nt.$.pl.$.nom.,eta,,,,,1,100,5,irregular,cm
444,etāsaṃ,.pron.,.f.$.sg.$.loc.,eta,,,,,1,100,6,irregular,cm
445,etasmā,.pron.,.m.$.sg.$.abl.,eta,,,,,1,100,6,irregular,cm
446,etasmā,.pron.,.nt.$.sg.$.abl.,eta,,,,,1,100,6,irregular,cm
447,etasmiṃ,.pron.,.m.$.sg.$.loc.,eta,,,,,1,100,7,irregular,cm
448,etasmiṃ,.pron.,.nt.$.sg.$.loc.,eta,,,,,1,100,7,irregular,cm
449,etassa,.pron.,.m.$.sg.$.dat.,eta,,,,,1,100,6,irregular,cm
450,etassa,.pron.,.nt.$.sg.$.dat.,eta,,,,,1,100,6,irregular,cm
451,etassa,.pron.,.m.$.sg.$.gen.,eta,,,,,1,100,6,irregular,cm
452,etassa,.pron.,.nt.$.sg.$.gen.,eta,,,,,1,100,6,irregular,cm
453,etassaṃ,.pron.,.f.$.sg.$.loc.,eta,,,,,1,100,7,irregular,cm
454,etassāya,.pron.,.f.$.sg.$.dat.,eta,,,,,1,100,8,irregular,cm
455,etassāya,.pron.,.f.$.sg.$.gen.,eta,,,,,1,100,8,irregular,cm
456,etāsu,.pron.,.f.$.pl.$.loc.,eta,,,,,1,100,5,irregular,cm
457,etāya,.pron.,.f.$.sg.$.abl.,eta,,,,,1,100,5,irregular,cm
458,etāya,.pron.,.f.$.sg.$.inst.,eta,,,,,1,100,5,irregular,cm
459,etāya,.pron.,.f.$.sg.$.loc.,eta,,,,,1,100,5,irregular,cm
460,etāyaṃ,.pron.,.f.$.sg.$.loc.,eta,,,,,1,100,6,irregular,cm
461,etāyo,.pron.,.f.$.pl.$.acc.,eta,,,,,1,100,5,irregular,cm
462,etāyo,.pron.,.f.$.pl.$.nom.,eta,,,,,1,100,5,irregular,cm
463,ete,.pron.,.m.$.pl.$.acc.,eta,,,,,1,100,3,irregular,cm
464,ete,.pron.,.m.$.pl.$.nom.,eta,,,,,1,100,3,irregular,cm
465,etebhi,.pron.,.m.$.pl.$.abl.,eta,,,,,1,100,6,irregular,cm
466,etebhi,.pron.,.nt.$.pl.$.abl.,eta,,,,,1,100,6,irregular,cm
467,etebhi,.pron.,.m.$.pl.$.inst.,eta,,,,,1,100,6,irregular,cm
468,etebhi,.pron.,.nt.$.pl.$.inst.,eta,,,,,1,100,6,irregular,cm
469,etehi,.pron.,.m.$.pl.$.abl.,eta,,,,,1,100,5,irregular,cm
470,etehi,.pron.,.nt.$.pl.$.abl.,eta,,,,,1,100,5,irregular,cm
471,etehi,.pron.,.m.$.pl.$.inst.,eta,,,,,1,100,5,irregular,cm
472,etehi,.pron.,.nt.$.pl.$.inst.,eta,,,,,1,100,5,irregular,cm
473,etena,.pron.,.m.$.sg.$.inst.,eta,,,,,1,100,5,irregular,cm
474,etena,.pron.,.nt.$.sg.$.inst.,eta,,,,,1,100,5,irregular,cm
475,etesaṃ,.pron.,.m.$.pl.$.dat.,eta,,,,,1,100,6,irregular,cm
476,etesaṃ,.pron.,.nt.$.pl.$.dat.,eta,,,,,1,100,6,irregular,cm
477,etesaṃ,.pron.,.m.$.pl.$.gen.,eta,,,,,1,100,6,irregular,cm
478,etesaṃ,.pron.,.nt.$.pl.$.gen.,eta,,,,,1,100,6,irregular,cm
479,etesānaṃ,.pron.,.m.$.pl.$.dat.,eta,,,,,1,100,8,irregular,cm
480,etesānaṃ,.pron.,.nt.$.pl.$.dat.,eta,,,,,1,100,8,irregular,cm
481,etesānaṃ,.pron.,.m.$.pl.$.gen.,eta,,,,,1,100,8,irregular,cm
482,etesānaṃ,.pron.,.nt.$.pl.$.gen.,eta,,,,,1,100,8,irregular,cm
483,etesu,.pron.,.m.$.pl.$.loc.,eta,,,,,1,100,5,irregular,cm
484,etesu,.pron.,.nt.$.pl.$.loc.,eta,,,,,1,100,5,irregular,cm
485,etissā,.pron.,.f.$.sg.$.dat.,eta,,,,,1,100,6,irregular,cm
486,etissā,.pron.,.f.$.sg.$.dat.,eta,,,,,1,100,6,irregular,cm
487,etissā,.pron.,.f.$.sg.$.gen.,eta,,,,,1,100,6,irregular,cm
488,etissā,.pron.,.f.$.sg.$.gen.,eta,,,,,1,100,6,irregular,cm
489,etissaṃ,.pron.,.f.$.sg.$.loc.,eta,,,,,1,100,7,irregular,cm
490,go,.n:base.,,,牛,,,,1,100,2,Kosalla_China,zh-hans
491,go,.n:base.,,,bull$cow,,,,1,100,2,Kosalla_China,cm
492,gavā,.n.,.m.$.sg.$.abl.,go,,,,,1,100,4,irregular,cm
493,gavaṃ,.n.,.m.$.sg.$.acc.,go,,,,,1,100,5,irregular,cm
494,gavaṃ,.n.,.m.$.pl.$.gen.,go,,,,,1,100,5,irregular,cm
495,gāvaṃ,.n.,.m.$.sg.$.acc.,go,,,,,1,100,5,irregular,cm
496,gavamhā,.n.,.m.$.sg.$.abl.,go,,,,,1,100,7,irregular,cm
497,gavamhi,.n.,.m.$.sg.$.loc.,go,,,,,1,100,7,irregular,cm
498,gāvamhi,.n.,.m.$.sg.$.loc.,go,,,,,1,100,7,irregular,cm
499,gavassa,.n.,.m.$.sg.$.gen.,go,,,,,1,100,7,irregular,cm
500,gave,.n.,.m.$.sg.$.loc.,go,,,,,1,100,4,irregular,cm
501,gavena,.n.,.m.$.sg.$.inst.,go,,,,,1,100,6,irregular,cm
502,gāvena,.n.,.m.$.sg.$.inst.,go,,,,,1,100,6,irregular,cm
503,gavesu,.n.,.m.$.pl.$.loc.,go,,,,,1,100,6,irregular,cm
504,gāvesu,.n.,.m.$.pl.$.loc.,go,,,,,1,100,6,irregular,cm
505,gāvo,.n.,.m.$.pl.$.nom.,go,,,,,1,100,4,irregular,cm
506,gāvo,.n.,.m.$.pl.$.acc.,go,,,,,1,100,4,irregular,cm
507,go,.n.,.m.$.sg.$.nom.,go,,,,,1,100,2,irregular,cm
508,gohi,.n.,.m.$.pl.$.inst.,go,,,,,1,100,4,irregular,cm
509,gohi,.n.,.m.$.pl.$.abl.,go,,,,,1,100,4,irregular,cm
510,gonaṃ,.n.,.m.$.pl.$.gen.,go,,,,,1,100,5,irregular,cm
511,gosu,.n.,.m.$.pl.$.loc.,go,,,,,1,100,4,irregular,cm
512,gunnaṃ,.n.,.m.$.pl.$.gen.,go,,,,,1,100,6,irregular,cm
513,ka,.pron:base.,,,什么$何$谁$怎么$孰$啥,,,,1,100,2,Kosalla_China,zh-hans
514,ka,.pron:base.,,,what$who$how,,,,1,100,2,Kosalla_China,cm
515,kā,.pron.,.f.$.pl.$.acc.,ka,,,,,1,100,2,irregular,cm
516,kā,.pron.,.f.$.sg.$.nom.,ka,,,,,1,100,2,irregular,cm
517,kā,.pron.,.f.$.pl.$.nom.,ka,,,,,1,100,2,irregular,cm
518,kābhi,.pron.,.f.$.pl.$.abl.,ka,,,,,1,100,5,irregular,cm
519,kābhi,.pron.,.f.$.pl.$.inst.,ka,,,,,1,100,5,irregular,cm
520,kāhi,.pron.,.f.$.pl.$.abl.,ka,,,,,1,100,4,irregular,cm
521,kāhi,.pron.,.f.$.pl.$.inst.,ka,,,,,1,100,4,irregular,cm
522,kaṃ,.pron.,.f.$.sg.$.acc.,ka,,,,,1,100,3,irregular,cm
523,kaṃ,.pron.,.m.$.sg.$.acc.,ka,,,,,1,100,3,irregular,cm
524,kamhā,.pron.,.m.$.sg.$.abl.,ka,,,,,1,100,5,irregular,cm
525,kamhā,.pron.,.nt.$.sg.$.abl.,ka,,,,,1,100,5,irregular,cm
526,kamhi,.pron.,.m.$.sg.$.loc.,ka,,,,,1,100,5,irregular,cm
527,kamhi,.pron.,.nt.$.sg.$.loc.,ka,,,,,1,100,5,irregular,cm
528,kāni,.pron.,.nt.$.pl.$.acc.,ka,,,,,1,100,4,irregular,cm
529,kāni,.pron.,.nt.$.pl.$.nom.,ka,,,,,1,100,4,irregular,cm
530,kāsaṃ,.pron.,.f.$.pl.$.dat.,ka,,,,,1,100,5,irregular,cm
531,kāsaṃ,.pron.,.f.$.pl.$.gen.,ka,,,,,1,100,5,irregular,cm
532,kāsānaṃ,.pron.,.f.$.pl.$.dat.,ka,,,,,1,100,7,irregular,cm
533,kāsānaṃ,.pron.,.f.$.pl.$.gen.,ka,,,,,1,100,7,irregular,cm
534,kasmā,.pron.,.m.$.sg.$.abl.,ka,,,,,1,100,5,irregular,cm
535,kasmā,.pron.,.nt.$.sg.$.abl.,ka,,,,,1,100,5,irregular,cm
536,kasmiṃ,.pron.,.m.$.sg.$.loc.,ka,,,,,1,100,6,irregular,cm
537,kasmiṃ,.pron.,.nt.$.sg.$.loc.,ka,,,,,1,100,6,irregular,cm
538,kassa,.pron.,.m.$.sg.$.dat.,ka,,,,,1,100,5,irregular,cm
539,kassa,.pron.,.nt.$.sg.$.dat.,ka,,,,,1,100,5,irregular,cm
540,kassa,.pron.,.m.$.sg.$.gen.,ka,,,,,1,100,5,irregular,cm
541,kassa,.pron.,.nt.$.sg.$.gen.,ka,,,,,1,100,5,irregular,cm
542,kassā,.pron.,.f.$.sg.$.abl.,ka,,,,,1,100,5,irregular,cm
543,kassā,.pron.,.f.$.sg.$.dat.,ka,,,,,1,100,5,irregular,cm
544,kassā,.pron.,.f.$.sg.$.gen.,ka,,,,,1,100,5,irregular,cm
545,kassā,.pron.,.f.$.sg.$.loc.,ka,,,,,1,100,5,irregular,cm
546,kassaṃ,.pron.,.f.$.sg.$.loc.,ka,,,,,1,100,6,irregular,cm
547,kāsu,.pron.,.f.$.pl.$.loc.,ka,,,,,1,100,4,irregular,cm
548,katama,.pron.,.f.$.pl.$.loc.,ka,,,,,1,100,6,irregular,cm
549,kāya,.pron.,.f.$.sg.$.abl.,ka,,,,,1,100,4,irregular,cm
550,kāya,.pron.,.f.$.sg.$.dat.,ka,,,,,1,100,4,irregular,cm
551,kāya,.pron.,.f.$.sg.$.gen.,ka,,,,,1,100,4,irregular,cm
552,kāya,.pron.,.f.$.sg.$.inst.,ka,,,,,1,100,4,irregular,cm
553,kāyaṃ,.pron.,.f.$.sg.$.loc.,ka,,,,,1,100,5,irregular,cm
554,kāyo,.pron.,.f.$.pl.$.acc.,ka,,,,,1,100,4,irregular,cm
