"gramma","count"
jā.1.9.,16
jā.2.,313
Jā.2.,1
jā.2.1.,1
jā.2.17.,53
jā.2.18.,14
jā.2.19.,9
jā.2.20.,25
jā.2.21.,55
jā.2.22.,151
Jā.2.22.,1
jā.5.,1
jā.5.3.,1
jā.aṭṭha.,95
jā.aṭṭha.1.,13
jā.aṭṭha.1.1.,9
jā.aṭṭha.2.,11
jā.aṭṭha.2.2.,6
jā.aṭṭha.2.3.,2
jā.aṭṭha.3.,9
jā.aṭṭha.3.4.,3
jā.aṭṭha.3.7.,1
jā.aṭṭha.3.8.,1
jā.aṭṭha.4.,10
jā.aṭṭha.4.10.,3
jā.aṭṭha.4.11.,2
jā.aṭṭha.4.14.,1
jā.aṭṭha.5.,9
jā.aṭṭha.5.16.,1
jā.aṭṭha.5.17.,1
jā.aṭṭha.5.18.,1
jā.aṭṭha.5.21.,5
jā.aṭṭha.6.,1
jā.aṭṭha.6.22.,1
jātakaaṭṭha.,1
jinindabuddhinu,1
"ka,",3
"ka.,cūḷava.",1
ka.saṃ.ni.,1
ka.saṃ.ni.1.,1
"ka.sī.,a.ni.",1
"ka.sī.,a.ni.10.",1
"ka.sī.,ma.ni.",2
"ka.sī.,ma.ni.1.",2
kaccāyanasāre,1
kaccāyane,2
kappamāṇavapucchāniddesa,1
kāsikā,1
katā.,1
kathā.,193
kathā.anuṭī.,6
kathā.aṭṭha.,22
kathāvatthu,1
"katthaci,dī.ni.",1
"katthaci,dī.ni.3.",1
khu.ni.,1
khu.pā.,134
Khu.pā.,1
khu.pā.2.,1
khu.pā.3.,3
khu.pā.4.,5
khu.pā.5.,31
Khu.pā.5.,1
khu.pā.6.,48
khu.pā.7.,13
khu.pā.8.,12
khu.pā.9.,5
khu.pā.aṭṭha.,39
khu.pā.aṭṭha.5.,1
khu.pā.aṭṭha.6.,14
"kisamahatamimekasamahā.imapaccayeparekisa,mahanthasaddānaṃkamena",1
ma.ni.,3270
Ma.ni.,7
ma.ni.1.,1884
Ma.ni.1.,5
ma.ni.1.293a.ni.,1
ma.ni.1.293a.ni.3.,1
ma.ni.10.,1
ma.ni.2.,687
Ma.ni.2.,1
ma.ni.2.4.,10
ma.ni.3.,888
Ma.ni.3.,2
ma.ni.327.saṃ.ni.,1
ma.ni.327.saṃ.ni.2.,1
ma.ni.4.,12
ma.ni.5.,11
ma.ni.6.,25
ma.ni.8.,11
ma.ni.9.,2
ma.ni.94.,1
ma.ni.aṭṭa.,1
ma.ni.aṭṭa.1.,1
ma.ni.aṭṭha.,304
ma.ni.aṭṭha.1.,181
ma.ni.aṭṭha.1.1.,1
ma.ni.aṭṭha.1.10.,1
ma.ni.aṭṭha.2.,67
ma.ni.aṭṭha.2.4.,1
ma.ni.aṭṭha.3.,39
"ma.ni.aṭṭha.3.425,udā.aṭṭha.",1
ma.ni.aṭṭha.4.,6
ma.ni.ṭī.,16
ma.ni.ṭī.1.,8
ma.ni.ṭī.2.,3
ma.ni.ṭī.3.,2
mahā.,1
mahā.aṭṭha.,1
mahā.ni.,2
mahābhāsa,1
mahābhāsa7.,1
mahābhāsa7.2.,1
mahāni.,526
Mahāni.,3
mahāni.1.,1
"mahāni.3,cūḷani.",2
mahāni.5.,2
mahāni.aṭṭha.,45
mahāni.aṭṭha.1.,2
mahāva,1
mahāva.,1734
Mahāva.,3
māhāva.,1
mahāva.2.,16
mahāva.4.,1
"mahāva.66,cūḷava.",1
mahāva.aṭṭha.,398
māhāva.aṭṭha.,1
mahāva.aṭṭha.2.,2
