"gramma","count"
paṭṭhā.2.7.,3
moggallāne4.,3
mi.pa.2.6.,3
a.ni.ṭī.3.7.,3
apa.thera1.17.,3
Mahāva.,3
moggallāne,3
Dī.ni.aṭṭha.,2
visuddhi1.,2
daī.ni.,2
apa.thera.,2
mi.pa.6.3.,2
apa.thera1.5.,2
"pī.ka.,ma.ni.",2
"pī.ka.,ma.ni.2.",2
apa.thera1.7.,2
pu.pa.7.,2
cūḷani.3.,2
nyāyabhāssa5.2.,2
pu.pa.mātikā4.,2
saṃni.2.,2
yama.mūlaṭī.,2
saṃni.1.,2
pu.pa.mātikā7.,2
cintāmaṇiṭīkā6.,2
ma.ni.ṭī.3.,2
Jā.,2
mahā.ni.,2
saṃ.ni.ṭī.3.5.,2
byākhyāsudhā,2
byākhyāsudhā1.,2
saṃ.ni.ṭī.3.,2
byākhyāsudhā1.8.,2
"mahāni.3,cūḷani.",2
mahāni.5.,2
mahāni.aṭṭha.1.,2
sa.ni.2.,2
netti.10.,2
"caṃ,",2
apa.2.54.,2
cariyā,2
mahāva.aṭṭha.2.,2
caūḷava.,2
Sa.sa.,2
mi.pa.1.1.,2
mogharājamāṇavapucchāniddesa,2
apa.1.1.,2
saṃ.ni.2.3.,2
mi.pa.3.,2
moggallānabyākaraṇe5.,2
itivu.5.,2
mi.pa.4.3.,2
syā.jā.,2
syā.jā.1.,2
"syā.ka.,ma.ni.",2
"syā.ka.,ma.ni.2.",2
suṃ.ni.1.1.,2
a.ni.ṭī.3.9.,2
"ka.sī.,ma.ni.",2
paṭṭhā.2.15.,2
"ka.sī.,ma.ni.1.",2
bu.vaṃ.12.,2
kaccāyane,2
Dī.ni.3.,2
su.ni.1041cūḷani.,2
dukamātikā,2
su.ni.1.5.,2
a.ni.ṭī.3.11.,2
tikaṇḍasesaṭīkā,2
tikaṇḍasesaṭīkā1.,2
tikaṇḍasesaṭīkā1.1.,2
apa.thera1.3.,2
dī.ni.1.1.,2
jā.aṭṭha.4.11.,2
paṭi.ma.aṭṭha.2.3.,2
apa.thera1.36.,2
sī.syā.kaṃ.pī.dī.ni.1.,2
sī.syā.kaṃ.pī.dī.ni.,2
attaparāmāsapuññādiphalatācodanānayenadī.ni.ṭī.1.,2
moggallānabyākaraṇe,2
dī.1.,2
dī.,2
jā.aṭṭha.2.3.,2
saṃ.ni.9.,2
sī.pī.saṃ.ni.,2
A.ni.3.,2
saṃ.ni.8.,2
sī.pī.ma.ni.,2
pāri.,2
