vāh,1
vāk,2
vīd,1
vīj,3
yad,4
yaj,3
yam,3
yan,1
yas,3
yat,3
ya°,1
yaŋ,1
yaṁ,1
yaṃ,12
yes,1
yuj,3
yup,1
yāc,3
yād,1
°ga,1
°pa,1
ñar,2
ñāp,2
ābu,1
āda,2
ādi,100
ādo,4
ādu,12
āga,4
āgu,14
āgā,4
āha,12
āhi,2
āhu,13
āja,1
āji,6
āli,23
ālu,17
ālī,2
āma,23
āmo,11
āmā,8
āna,8
āni,1
ānā,1
āpa,18
āpo,5
āpu,3
āpā,6
āra,13
ārammaṇbhimukha,1
ārā,20
āsa,12
āsi,16
āso,1
āsu,11
āsā,15
āsī,8
ātu,6
āva,2
āvi,11
āvā,5
āvī,4
āya,11
āyo,1
āyu,12
āḍi,1
āḷa,2
āḷi,10
āḷī,3
āṇa,3
āṇi,12
āṇā,11
āṇī,2
āṭa,6
āṭi,1
āṭo,1
īdh,1
īdī,3
īha,3
īhi,2
īhā,10
īhī,1
īja,3
īks,1
īra,5
īri,2
īsa,18
īso,1
īsā,11
īsī,3
īti,9
ītī,1
īḍa,1
īḷa,3
ūha,3
ūhā,7
ūki,1
ūko,1
ūkā,9
ūmi,4
ūmī,5
ūna,10
ūno,1
ūpa,1
ūru,9
ūsa,8
ūso,1
ūta,1
ūyī,2
ḍam,1
ḍha,4
ṭal,1
ṭan,1
ṭha,4
ṭhe,5
ṭho,1
ṭhā,7
ṭup,1
ṭīk,1
ādīni,100
ādinā,100
ādinī,100
ādissa,100
ādī,100
ādimhi,100
ādo,100
ādīsu,100
ādayo,100
ādīnaṃ,100
ādiyo,100
ādiyā,100
ādāyaṃ,100
ādīni,100
ādimhī,100
ādismiṃ,100
ādismā,100
ādissā,100
ādiyaṃ,100
ādīhi,100
ādīsū,100
--ji,1
--m-,1
--mā,1
--ñū,1
-aka,1
-aro,1
-bhi,1
-cca,1
-ema,1
-emu,1
-ena,1
-era,1
-ha-,1
-hi-,1
-ima,1
-mhe,1
-mhi,1
-mhā,1
-nta,1
-nte,1
-nti,1
-nto,1
-ntu,1
-ntā,1
-pe-,1
-raṁ,1
-ruṁ,1
-siṁ,1
-smā,1
-ssa,1
-ssu,1
-ssā,1
-suṁ,1
-taṁ,1
-tha,1
-tta,1
-tuṁ,1
-tvā,1
-tya,1
-vat,1
-vhe,1
-vho,1
-vāk,1
-ya-,1
-yaṁ,1
-āna,1
-āni,1
-āya,1
-āyo,1
-īya,1
-ṭha,2
abba,3
abbh,4
abbu,4
abhi,10
abho,1
abhā,2
abhū,3
aby°,1
acc-,2
acca,7
acci,11
accā,1
achi,3
adaṁ,1
adaṃ,3
adda,26
addi,11
addo,1
addu,3
addā,16
adhi,11
adho,15
aduṁ,1
aduṃ,9
agaṃ,3
agga,22
agge,3
aggh,4
aggi,19
aggo,1
aggā,2
agha,25
aghaṭṭanīya,5
ahaŋ,1
ahaṁ,2
ahaṃ,11
ahuṁ,1
ahuṃ,3
ajja,24
ajjh,2
ajju,2
akaṃ,3
akha,1
akka,14
akko,1
alaŋ,1
alaṁ,3
alla,13
alli,4
allo,1
allā,2
alpa,1
alya,1
amba,21
ambh,2
ambo,1
ambu,13
ambā,10
amha,24
amhe,8
amho,2
amhā,11
amma,6
ammā,12
amsa,2
amu°,1
amuṁ,1
amuṃ,3
ana-,2
anaṃ,1
anda,1
andh,1
andu,15
anga,1
anha,4
anho,1
anja,1
