58235,laddhaphalāphala,.n:base.,.nt.,,,82834,addha+phalāphala,,1,100,16,pm,cm
58236,laddhārammaṇa,.n:base.,.nt.,,,82851,addha+ārammaṇa,,1,100,13,pm,cm
58237,laddhasalākabhatta,.n:base.,.nt.,,,82861,addhasalākā+bhatta,,1,100,18,pm,cm
58238,laddhāsana,.n:base.,.nt.,,,82875,addha+āsana,,1,100,10,pm,cm
58239,laddhasutta,.n:base.,.nt.,,,82893,addha+sutta,,1,100,11,pm,cm
58240,laddhatta,.n:base.,.nt.,,,82896,addha+tta,,1,100,9,pm,cm
58241,laddhaṭṭhāna,.n:base.,.nt.,,,82897,addha+ṭhāna,,1,100,12,pm,cm
58242,laddhavassa,.n:base.,.nt.,,,82910,addha+vassa,,1,100,11,pm,cm
58243,laddhavidhāna,.n:base.,.nt.,,,82914,addha+vidhāna,,1,100,13,pm,cm
58244,laddhavināsana,.n:base.,.nt.,,,82916,addha+vināsana,,1,100,14,pm,cm
58245,laddhavissajjana,.n:base.,.nt.,,,82922,addha+vissajjana,,1,100,16,pm,cm
58246,laddhibhindana,.n:base.,.nt.,,,82933,addhi+bhindana,,1,100,14,pm,cm
58247,laddhigahaṇa,.n:base.,.nt.,,,82936,addhi+gahaṇa,,1,100,12,pm,cm
58248,laddhiggahaṇa,.n:base.,.nt.,,,82937,addhi+gahaṇa,,1,100,13,pm,cm
58249,laddhikittana,.n:base.,.nt.,,,82941,addhi+kittana,,1,100,13,pm,cm
58250,laddhinissajjana,.n:base.,.nt.,,,82944,addhi+nissajjana,,1,100,16,pm,cm
58251,laddhipatiṭṭhāpana,.n:base.,.nt.,,,82946,addhi+patiṭṭhāpana,,1,100,18,pm,cm
58252,laddhipavattaṭṭhāna,.n:base.,.nt.,,,82947,addhi+pavattaṭṭhāna,,1,100,19,pm,cm
58253,laddhipavedanamukha,.n:base.,.nt.,,,82948,addhi+pa-dana+mukha,,1,100,19,pm,cm
58254,laddhippakāsana,.n:base.,.nt.,,,82949,addhi+pakāsana,,1,100,15,pm,cm
58255,laddhisañjānana,.n:base.,.nt.,,,82951,addhi+sañjānana,,1,100,15,pm,cm
58256,laddhisodhana,.n:base.,.nt.,,,82953,addhi+sodhana,,1,100,13,pm,cm
58257,laddhiuppattipaṭibāhana,.n:base.,.nt.,,,82955,addhi+uppatti+paṭibāhana,,1,100,23,pm,cm
58258,laddhivisodhana,.n:base.,.nt.,,,82958,addhi+visodhana,,1,100,15,pm,cm
58259,laddhivissajjāpana,.n:base.,.nt.,,,82959,addhi+vissajjāpana,,1,100,18,pm,cm
58260,laddhivivecana,.n:base.,.nt.,,,82960,addhi+vivecana,,1,100,14,pm,cm
58261,laddhupaṭṭhāna,.n:base.,.nt.,,,82975,addha+upaṭṭhāna,,1,100,14,pm,cm
58262,lagana,.n:base.,.nt.,,,82981,aga+yu,,1,100,6,pm,cm
58263,lagga,.n:base.,.nt.,,,82989,aga+ta,,1,100,5,pm,cm
58264,laggacakka,.n:base.,.nt.,,,82991,agga+cakka,,1,100,10,pm,cm
58265,laggacīvara,.n:base.,.nt.,,,82993,agga+cīvara,,1,100,11,pm,cm
58266,laggamatta,.n:base.,.nt.,,,82999,agga+matta,,1,100,10,pm,cm
58267,laggana,.n:base.,.nt.,,,83002,aga(lagga)+yu,,1,100,7,pm,cm
58268,laggana,.n:base.,.nt.,,,83003,aga(lagga)+ṇe+yu,,1,100,7,pm,cm
58269,lagganādhivacana,.n:base.,.nt.,,,83004,aggana+adhivacana,,1,100,16,pm,cm
58270,lagganaka,.n:base.,.nt.,,,83006,aggana+ka,,1,100,9,pm,cm
58271,laggāpana,.n:base.,.nt.,,,83019,aga(lagga)+ṇāpe+yu,,1,100,9,pm,cm
58272,laggatta,.n:base.,.nt.,,,83031,agga+tta,,1,100,8,pm,cm
58273,laggavilipanamaṃsa,.n:base.,.nt.,,,83035,agga+vilipana+maṃsa,,1,100,18,pm,cm
58274,laggavilīpanamaṃsa,.n:base.,.nt.,,,83036,agga+vilīpana+maṃsa,,1,100,18,pm,cm
58275,laggitaṭṭhāna,.n:base.,.nt.,,,83062,aggita+ṭhāna,,1,100,13,pm,cm
58276,laggitaussavabindu,.n:base.,.nt.,,,83063,aggita+ussava+bindu,,1,100,18,pm,cm
58277,lāghava,.n:base.,.nt.,,,83067,aghu+ṇa,,1,100,7,pm,cm
58278,lahubhaṇḍa,.n:base.,.nt.,,,83083,ahu+bhaṇḍa,,1,100,10,pm,cm
58279,lahucīvara,.n:base.,.nt.,,,83087,ahu+cīvara,,1,100,10,pm,cm
