#,telugu,1
summary,pali to telugu,2
font,times,3
size,90%,4
author,siddhattha,5
data,2019/3/14,6
#,,7
mphva,మ్ఫ్వ
bbhva,బ్భ్వ
mbhva,మ్భ్వ
kkhma,క్ఖ్మ
gghma,ఘ్ఘ్మ
cchma,ఛ్ఛ్మ
jjhma,ఝ్ఝ్మ
ñchma,ఞ్ఛ్మ
ñjhma,ఞ్ఝ్మ
ṭṭhma,ఠ్ఠ్మ
ḍḍhma,ఢ్ఢ్మ
ṇṭhma,ణ్ఠ్మ
ṇḍhma,ణ్ఢ్మ
tthma,త్థ్మ
nthma,న్థ్మ
ddhma,ద్ధ్మ
ndhma,న్ధ్మ
pphma,ప్ఫ్మ
mphma,మ్ఫ్మ
bbhma,బ్భ్మ
mbhma,మ్భ్మ
thth,ధ్ధ్
dhdh,ధ్ధ్
phph,ఫ్ఫ్
bhbh,భ్భ్
shsh,ష్ష్
kkha,క్ఖ
ggha,ఘ్ఘ
ccha,ఛ్ఛ
jjha,ఝ్ఝ
ñcha,ఞ్ఛ
ñjha,ఞ్ఝ
ṭṭha,ఠ్ఠ
ḍḍha,ఢ్ఢ
ṇṭha,ణ్ఠ
ṇḍha,ణ్ఢ
ttha,త్థ
ntha,న్థ
ddha,ద్ధ
ndha,న్ధ
ppha,ప్ఫ
mpha,మ్ఫ
bbha,బ్భ
mbha,మ్భ
kkhā,క్ఖా
gghā,ఘ్ఘా
cchā,ఛ్ఛా
jjhā,ఝ్ఝా
ñchā,ఞ్ఛా
ñjhā,ఞ్ఝా
ṭṭhā,ఠ్ఠా
ḍḍhā,ఢ్ఢా
ṇṭhā,ణ్ఠా
ṇḍhā,ణ్ఢా
tthā,త్థా
nthā,న్థా
ddhā,ద్ధా
ndhā,న్ధా
pphā,ప్ఫా
mphā,మ్ఫా
bbhā,బ్భా
mbhā,మ్భా
kkhi,క్ఖి
gghi,ఘ్ఘి
cchi,ఛ్ఛి
jjhi,ఝ్ఝి
ñchi,ఞ్ఛి
ñjhi,ఞ్ఝి
ṭṭhi,ఠ్ఠి
ḍḍhi,ఢ్ఢి
ṇṭhi,ణ్ఠి
ṇḍhi,ణ్ఢి
tthi,త్థి
nthi,న్థి
ddhi,ద్ధి
ndhi,న్ధి
pphi,ప్ఫి
mphi,మ్ఫి
bbhi,బ్భి
mbhi,మ్భి
kkhī,క్ఖీ
gghī,ఘ్ఘీ
cchī,ఛ్ఛీ
jjhī,ఝ్ఝీ
ñchī,ఞ్ఛీ
ñjhī,ఞ్ఝీ
ṭṭhī,ఠ్ఠీ
ḍḍhī,ఢ్ఢీ
ṇṭhī,ణ్ఠీ
ṇḍhī,ణ్ఢీ
tthī,త్థీ
nthī,న్థీ
ddhī,ద్ధీ
ndhī,న్ధీ
pphī,ప్ఫీ
mphī,మ్ఫీ
bbhī,బ్భీ
mbhī,మ్భీ
kkhu,క్ఖు
gghu,ఘ్ఘు
cchu,ఛ్ఛు
jjhu,ఝ్ఝు
ñchu,ఞ్ఛు
ñjhu,ఞ్ఝు
ṭṭhu,ఠ్ఠు
ḍḍhu,ఢ్ఢు
ṇṭhu,ణ్ఠు
ṇḍhu,ణ్ఢు
tthu,త్థు
nthu,న్థు
ddhu,ద్ధు
ndhu,న్ధు
pphu,ప్ఫు
mphu,మ్ఫు
bbhu,బ్భు
mbhu,మ్భు
kkhū,క్ఖూ
gghū,ఘ్ఘూ
cchū,ఛ్ఛూ
jjhū,ఝ్ఝూ
ñchū,ఞ్ఛూ
ñjhū,ఞ్ఝూ
ṭṭhū,ఠ్ఠూ
ḍḍhū,ఢ్ఢూ
ṇṭhū,ణ్ఠూ
ṇḍhū,ణ్ఢూ
tthū,త్థూ
nthū,న్థూ
ddhū,ద్ధూ
ndhū,న్ధూ
pphū,ప్ఫూ
mphū,మ్ఫూ
bbhū,బ్భూ
mbhū,మ్భూ
kkru,క్కృ
kmru,క్మృ
khru,ఖృ
ggru,గ్గృ
ghru,ఘృ
ccru,చ్చృ
chru,ఛృ
jjru,జ్జృ
jhru,ఝృ
jñru,జ్ఞృ
ññru,ఞ్ఞృ
ñhru,ఞ్హృ
ñcru,ఞ్చృ
ñjru,ఞ్జృ
ṭṭru,ట్టృ
ṭhru,ఠృ
ḍḍru,డ్డృ
ḍhru,ఢృ
ṇṇru,ణ్ణృ
ṇhru,ణ్హృ
ṇṭru,ణ్టృ
nṭru,న్టృ
ṇḍru,ణ్డృ
ttru,త్తృ
ntru,న్తృ
thru,థృ
ddru,ద్దృ
ndru,న్దృ
dhru,ధృ
nnru,న్నృ
nhru,న్హృ
ppru,ప్పృ
mpru,మ్పృ
phru,ఫృ
bbru,బ్బృ
mbru,మ్బృ
bhru,భృ
mmru,మ్మృ
mhru,మ్హృ
yyru,య్యృ
yhru,య్హృ
rrru,ర్రృ
ṛṛru,ఱ్ఱృ
llru,ల్లృ
lhru,ల్హృ
ḷḷru,ళ్ళృ
ḷhru,ళ్హృ
vvru,వ్వృ
vhru,వ్హృ
śśru,శ్శృ
shru,షృ
ssru,స్సృ
smru,స్మృ
hhru,హ్హృ
hmru,హ్మృ
kkrū,క్కౄ
kmrū,క్మౄ
khrū,ఖౄ
ggrū,గ్గౄ
ghrū,ఘౄ
ccrū,చ్చౄ
chrū,ఛౄ
jjrū,జ్జౄ
jhrū,ఝౄ
jñrū,జ్ఞౄ
ññrū,ఞ్ఞౄ
ñhrū,ఞ్హౄ
ñcrū,ఞ్చౄ
ñjrū,ఞ్జౄ
ṭṭrū,ట్టౄ
ṭhrū,ఠౄ
ḍḍrū,డ్డౄ
ḍhrū,ఢౄ
ṇṇrū,ణ్ణౄ
ṇhrū,ణ్హౄ
ṇṭrū,ణ్టౄ
nṭrū,న్టౄ
ṇḍrū,ణ్డౄ
ttrū,త్తౄ
ntrū,న్తౄ
thrū,థౄ
ddrū,ద్దౄ
ndrū,న్దౄ
dhrū,ధౄ
nnrū,న్నౄ
nhrū,న్హౄ
pprū,ప్పౄ
mprū,మ్పౄ
phrū,ఫౄ
bbrū,బ్బౄ
mbrū,మ్బౄ
bhrū,భౄ
mmrū,మ్మౄ
mhrū,మ్హౄ
yyrū,య్యౄ
yhrū,య్హౄ
rrrū,ర్రౄ
ṛṛrū,ఱ్ఱౄ
llrū,ల్లౄ
lhrū,ల్హౄ
ḷḷrū,ళ్ళౄ
ḷhrū,ళ్హౄ
vvrū,వ్వౄ
vhrū,వ్హౄ
śśrū,శ్శౄ
shrū,షౄ
ssrū,స్సౄ
smrū,స్మౄ
hhrū,హ్హౄ
hmrū,హ్మౄ
kkhe,క్ఖె
gghe,ఘ్ఘె
cche,ఛ్ఛె
jjhe,ఝ్ఝె
ñche,ఞ్ఛె
ñjhe,ఞ్ఝె
ṭṭhe,ఠ్ఠె
ḍḍhe,ఢ్ఢె
ṇṭhe,ణ్ఠె
ṇḍhe,ణ్ఢె
tthe,త్థె
nthe,న్థె
ddhe,ద్ధె
ndhe,న్ధె
pphe,ప్ఫె
mphe,మ్ఫె
bbhe,బ్భె
mbhe,మ్భె
kkhē,క్ఖే
gghē,ఘ్ఘే
cchē,ఛ్ఛే
jjhē,ఝ్ఝే
ñchē,ఞ్ఛే
ñjhē,ఞ్ఝే
ṭṭhē,ఠ్ఠే
ḍḍhē,ఢ్ఢే
ṇṭhē,ణ్ఠే
ṇḍhē,ణ్ఢే
tthē,త్థే
nthē,న్థే
ddhē,ద్ధే
ndhē,న్ధే
pphē,ప్ఫే
mphē,మ్ఫే
bbhē,బ్భే
mbhē,మ్భే
kkai,క్కై
kmai,క్మై
khai,ఖై
ggai,గ్గై
ghai,ఘై
ccai,చ్చై
chai,ఛై
jjai,జ్జై
jhai,ఝై
jñai,జ్ఞై
ññai,ఞ్ఞై
ñhai,ఞ్హై
ñcai,ఞ్చై
ñjai,ఞ్జై
ṭṭai,ట్టై
ṭhai,ఠై
ḍḍai,డ్డై
ḍhai,ఢై
ṇṇai,ణ్ణై
ṇhai,ణ్హై
ṇṭai,ణ్టై
nṭai,న్టై
