book,paragraph,level,title,tag
25,42,2,4. anantarapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,54,2,5. samanantarapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,59,2,6. sahajātapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,63,2,7. aññamaññapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,67,2,8. nissayapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,78,2,9. upanissayapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,100,2,10. purejātapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,104,2,11. pacchājātapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,110,2,12. āsevanapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,119,2,13. kammapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,128,2,14. vipākapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,136,2,15. āhārapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,144,2,16. indriyapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,153,2,17. jhānapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,158,2,18. maggapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,163,2,19. sampayuttapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,169,2,20. vippayuttapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,172,2,21. atthipaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,176,2,22. natthipaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,177,2,23. vigatapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,178,2,24. avigatapaccayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,181,2,paccayasabhāgo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
25,196,2,paccayaghaṭanānayo,:añña::abhidhamma::paṭṭhāna::paṭṭhānuddesa dīpanīpāṭha::leḍī sayādo:
26,2,1,caturārakkhadīpanī,:añña::nīti-ganthasaṅgaha::caturārakkhadīpanī::dīpanī:
26,37,2,1. buddhānussati niddesa,:añña::nīti-ganthasaṅgaha::caturārakkhadīpanī::dīpanī:
26,83,2,2. maraṇassatiniddesa,:añña::nīti-ganthasaṅgaha::caturārakkhadīpanī::dīpanī:
26,442,2,3. asubhabhāvanā niddesa,:añña::nīti-ganthasaṅgaha::caturārakkhadīpanī::dīpanī:
26,1068,2,appamādāvaha pakiṇṇakaniddesa,:añña::nīti-ganthasaṅgaha::caturārakkhadīpanī::dīpanī:
26,1564,2,kāyapaccavekkhaṇā,:añña::nīti-ganthasaṅgaha::caturārakkhadīpanī::dīpanī:
27,2,1,kavidappaṇanīti,:añña::nīti-ganthasaṅgaha::kavidappaṇanīti:
27,3,2,mātikā,:añña::nīti-ganthasaṅgaha::kavidappaṇanīti:
27,85,2,ratanattayapaṇāma,:añña::nīti-ganthasaṅgaha::kavidappaṇanīti:
27,92,2,paṇḍitakaṇḍa,:añña::nīti-ganthasaṅgaha::kavidappaṇanīti:
27,641,2,sujanakaṇḍa,:añña::nīti-ganthasaṅgaha::kavidappaṇanīti:
27,745,2,bāladujjanakaṇḍa,:añña::nīti-ganthasaṅgaha::kavidappaṇanīti:
27,897,2,rājakaṇḍa,:añña::nīti-ganthasaṅgaha::kavidappaṇanīti:
27,990,2,nāyaka kaṇḍa,:añña::nīti-ganthasaṅgaha::kavidappaṇanīti:
